area,beds,full_baths,1.5_baths,price
2431,3,2,0,1650000
1719,3,1,1,750000
1775,3,3,0,2050000
991,1,0,1,1575000
3413,4,2,1,2295000
4614,5,3,1,3675000
1755,2,2,0,2199000
8078,7,7,1,17900000
5789,4,2,1,6980000
8694,5,6,1,12000000
2680,3,1,1,2899000
2624,3,2,1,4996000
3700,4,2,1,3950000
8300,6,5,1,6595000
4448,5,5,1,5295000
1997,3,2,0,2399000
4299,6,5,1,4950000
3250,4,4,1,1850000
4915,5,4,1,6000000
3670,4,3,1,3385000
2971,4,4,0,3099000
764,1,1,0,449000
1806,2,2,0,1590000
1026,2,2,0,785000
920,2,2,0,750000
874,1,1,0,498000
506,1,1,0,370000
1899,4,1,1,1779000
1053,2,0,1,595000
1403,1,0,1,1695000
713,1,1,0,499000
2076,4,3,1,1798000
1342,2,2,0,1195000
1941,2,2,0,1895000
1682,2,1,1,4995000
1596,3,2,1,1899000
1326,4,3,0,2200000
504,1,1,0,369000
1993,3,2,0,2179000
2975,3,3,0,2440000
12017,5,6,1,13500000
6338,4,4,1,14900000
5687,5,4,1,3695000
5060,4,6,0,7750000
2596,3,4,0,4500000
1800,3,2,0,3588888
1950,2,2,0,2495000
2500,3,3,0,2995000
4293,5,3,1,4988000
4792,4,4,0,3950000
1676,2,2,0,2199000
2444,3,2,0,4975000
6727,5,4,1,5395000
3500,6,5,0,3388000
5734,5,4,1,4595000
6948,5,6,1,7395000
5095,5,3,1,6895000
3581,7,5,1,3795000
8331,6,5,1,7499000
3417,5,2,1,3198000
2036,2,3,0,2695000
3225,3,2,1,2595000
3009,4,4,0,3199000
1344,2,2,0,744000
10300,7,6,1,25988000
3999,4,4,0,1650000
10285,6,5,1,17950000
1102,2,2,0,749000
1412,2,1,1,975000
1140,2,1,1,605000
984,2,2,0,779000
1118,2,2,0,430000
2142,5,3,0,1399000
9000,5,5,1,22000000
1153,2,2,0,389000
1089,2,2,0,715000
2601,4,1,1,1195000
1010,2,2,0,1395000
1374,2,2,0,1195000
4910,4,3,1,2874000
1754,2,3,0,4295000
2750,5,2,1,1650000
715,1,1,0,435000
820,2,0,1,2250000
2925,3,2,1,2265000
3542,5,2,1,2100000
1957,3,2,0,3995000
2163,2,2,0,1850000
3860,5,3,1,2095000
2061,3,1,1,2395000
2840,6,3,1,1895000
4378,5,4,1,3400000
3557,3,2,1,3195000
2860,5,2,1,3995000
4900,3,3,1,9995000
6246,5,4,1,5500000
2973,5,3,0,2790000
5477,5,4,1,4480000
7460,4,5,0,7250000
4897,5,2,1,3398000
2626,3,3,0,3220000
2760,4,1,1,2395000
2571,4,3,0,2625000
3683,5,3,1,2888000
3575,5,3,1,3778000
5131,6,4,0,4299000
1860,3,2,0,1299000
723,2,1,0,854300
1500,3,1,1,695000
1407,3,2,0,1499000
1650,3,2,0,1550000
1458,3,1,1,769000
6276,5,4,1,6995000
6192,4,5,1,4100000
3052,4,3,0,1498000
8500,4,2,1,13950000
1280,3,2,0,2350000
1719,4,3,0,750000
1719,2,3,0,745000
1439,2,1,1,1599000
3202,3,2,1,1875000
5800,7,5,1,4195000
2680,4,4,0,2600000
691,1,1,0,439000
5790,6,5,1,4690000
5534,5,4,1,7995000
4411,5,4,1,4299000
5378,6,4,1,4580000
